iter	MultiClass
224	0.9588160917
225	0.9572235829
226	0.9558959667
227	0.9545576741
228	0.9531990548
229	0.9517017143
230	0.9501303913
231	0.9485950075
232	0.9472357151
233	0.9458000426
234	0.9442149019
235	0.9428109872
236	0.9415253485
237	0.9403439743
238	0.9390571037
239	0.9377495142
240	0.9362990413
241	0.9347920093
242	0.9334935763
243	0.9316841308
244	0.9302978766
245	0.9289568564
246	0.9275582649
247	0.9259223172
248	0.9245701302
249	0.9231441332
250	0.9219372425
251	0.9206460375
252	0.9194446094
253	0.9182270682
254	0.9170931531
255	0.9157923388
256	0.9146184492
257	0.913415275
258	0.912274606
259	0.9108894029
260	0.9096007009
261	0.9081440078
262	0.9068136282
263	0.905489922
264	0.904268589
265	0.9030813417
266	0.9018247782
267	0.9004912718
268	0.8991582021
269	0.8980171579
270	0.8966841134
271	0.895657742
272	0.894471129
273	0.8934038346
274	0.8921336394
275	0.8909297377
276	0.8895940962
277	0.8883883389
278	0.8872669542
279	0.8859580316
280	0.8846172908
281	0.8831421358
282	0.8817817896
283	0.8803928858
284	0.8791031804
285	0.8779811463
286	0.8769837346
287	0.8758506967
288	0.874780187
289	0.8736994255
290	0.8724404229
291	0.8713639859
292	0.8701576573
293	0.8691034483
294	0.8679431191
295	0.8668602975
296	0.8657341857
297	0.8646127618
298	0.8635201845
299	0.8624979539
300	0.8614461218
301	0.8603825587
302	0.8591594039
303	0.857981918
304	0.8568816476
305	0.8558139972
306	0.8544773669
307	0.8534062986
308	0.8523875468
309	0.8512222581
310	0.8500798578
311	0.8488983795
312	0.8477410113
313	0.8467222516
314	0.8458468259
315	0.844693344
316	0.8437281471
317	0.842746139
318	0.8417120937
319	0.8406032651
320	0.8395229025
321	0.8385060847
322	0.8374856111
323	0.8365305304
324	0.8354920206
325	0.8345875455
326	0.8335561734
327	0.8325033434
328	0.8316713278
329	0.8306094188
330	0.8296152606
331	0.8285238333
332	0.8274654349
333	0.8263723676
334	0.8253782039
335	0.8242188569
336	0.823115042
337	0.8220948436
338	0.8211557625
339	0.8202967332
340	0.8194114066
341	0.8184657263
342	0.8174542431
343	0.816548721
344	0.8155726347
345	0.8145532831
346	0.813631671
347	0.8126717709
348	0.8117465821
349	0.8110092652
350	0.8100002729
351	0.8091156383
352	0.8083140212
353	0.8075050164
354	0.8062187022
355	0.8052051972
356	0.8040967171
357	0.8031189826
358	0.802221221
359	0.8014134546
360	0.800434518
361	0.7993125648
362	0.7985659472
363	0.7977518287
364	0.7968401032
365	0.7959994674
366	0.7951146628
367	0.7942221497
368	0.7934083917
369	0.7925340914
370	0.7916256123
371	0.790748226
372	0.7898487886
373	0.7887927621
374	0.7878829951
375	0.786970887
376	0.786155467
377	0.7853114816
378	0.7841994432
379	0.7833306419
380	0.7824546885
381	0.7816283115
382	0.7807879521
383	0.7799684789
384	0.7790457054
385	0.7781464677
386	0.777399177
387	0.7765361295
388	0.7756457434
389	0.7747638426
390	0.7738661379
391	0.7729448897
392	0.7720810447
393	0.7711635435
394	0.7703461426
395	0.7695157006
396	0.7686075345
397	0.7678003663
398	0.7669002026
399	0.7660877681
400	0.7652868987
401	0.7645474725
402	0.7636982334
403	0.7628276874
404	0.7620674495
405	0.7613019599
406	0.7604944267
407	0.7597722969
408	0.7589375065
409	0.7581188546
410	0.7572911931
411	0.7565183892
412	0.755675827
413	0.7547849226
414	0.7540931831
415	0.753112622
416	0.7522287221
417	0.7513015582
418	0.7505247333
419	0.7497572466
420	0.749119318
421	0.7482672517
422	0.7474660932
423	0.7467298485
424	0.7459777982
425	0.7452777277
426	0.7445578952
427	0.7439219984
428	0.7430821764
429	0.7423682122
430	0.7414561108
431	0.7406984149
432	0.7399705834
433	0.7391566361
434	0.7384646366
435	0.7376602663
436	0.7368961954
437	0.7361363505
438	0.7354702566
439	0.7347220037
440	0.7339688532
441	0.7332272163
442	0.7325294151
443	0.7317362018
444	0.7309747572
445	0.7301782578
446	0.7294260165
447	0.7288069141
448	0.7279583698
449	0.7270524821
450	0.7262723754
451	0.725570447
452	0.7248106684
453	0.7239712712
454	0.7232477107
455	0.7225242151
456	0.7217912868
457	0.7210594891
458	0.7203425967
459	0.7196369218
460	0.7188494521
461	0.718207185
462	0.7173770832
463	0.7165480482
464	0.7159727359
465	0.7153999278
466	0.7147109129
467	0.7141237488
468	0.7134490877
469	0.7127521114
470	0.712101368
471	0.7114141354
472	0.7109211092
473	0.7100859312
474	0.7093261774
475	0.7085320126
476	0.7078011721
477	0.707045001
478	0.7063093922
479	0.7055937883
480	0.704946043
481	0.7043206018
482	0.7036375274
483	0.7029679716
484	0.7024016768
485	0.7015734488
486	0.7008405301
487	0.7002001606
488	0.6996011404
489	0.698907279
490	0.6982590443
491	0.6976029819
492	0.696907818
493	0.696290326
494	0.6955773308
495	0.6948838275
496	0.6943218775
497	0.6934759486
498	0.692821109
499	0.6923055864
500	0.6914579529
501	0.690823105
502	0.6900214776
503	0.6894333654
504	0.6887616144
505	0.6881619845
506	0.6874025328
507	0.6867180298
508	0.6861026527
509	0.6855015589
510	0.684770924
511	0.6842263252
512	0.6835963038
513	0.6829086507
514	0.682360201
515	0.6817223502
516	0.6811382189
517	0.6806360993
518	0.6799669862
519	0.6793379272
520	0.678729406
521	0.678220874
522	0.6776504942
523	0.6770708978
524	0.676318603
525	0.6756813918
526	0.6750030793
527	0.6744698495
528	0.6738517493
529	0.6732369249
530	0.6726476402
531	0.672175165
532	0.6715209011
533	0.6709216751
534	0.6704011957
535	0.6697527434
536	0.6693167419
537	0.6686795367
538	0.6682041166
539	0.6674177975
540	0.6668975932
541	0.6663800049
542	0.6657627023
543	0.6652394694
544	0.664802801
545	0.6641488562
546	0.6636093253
547	0.6630170472
548	0.6624793566
549	0.6617064345
550	0.6612337051
551	0.6606564817
552	0.6601152634
553	0.6595842972
554	0.6590276496
555	0.6584279969
556	0.6578937257
557	0.6573487629
558	0.6568382726
559	0.6562601907
560	0.6557480866
561	0.6552950545
562	0.6545787593
563	0.654032813
564	0.653407325
565	0.6527966608
566	0.652160419
567	0.6516020132
568	0.6510700322
569	0.6503410177
570	0.6496159438
571	0.6491365518
572	0.6486141326
573	0.6481661339
574	0.647697589
575	0.6471767025
576	0.6467160149
577	0.6461760376
578	0.64576448
579	0.6452763319
580	0.6447010648
581	0.6441229704
582	0.6434787672
583	0.6429176036
584	0.6424614709
585	0.6420435809
586	0.6415972128
587	0.6410615775
588	0.6405118885
589	0.6400736378
590	0.6395074642
591	0.6389446225
592	0.6384977438
593	0.6379860439
594	0.637342719
595	0.6367154869
596	0.6361572294
597	0.6356936019
598	0.6352545913
599	0.634738104
600	0.6341152731
601	0.6335998152
602	0.6331763467
603	0.6326310496
604	0.6318945469
605	0.6313588769
606	0.6308946832
607	0.6304094649
608	0.6298569711
609	0.6293469656
610	0.6287056548
611	0.6282237642
612	0.6276776404
613	0.6272342129
614	0.626843331
615	0.6263797471
616	0.6258481816
617	0.6253098938
618	0.6248744823
619	0.6243079442
620	0.6238964568
621	0.6234278616
622	0.623062157
623	0.6225316137
624	0.6222422071
625	0.6218342405
626	0.6214212531
627	0.6209469022
628	0.6202802844
629	0.6198196197
630	0.6193370299
631	0.6188102828
632	0.6180787974
633	0.6175179351
634	0.6167531052
635	0.6162121626
636	0.6157271449
637	0.6151835313
638	0.6147945047
639	0.614495771
640	0.6140425193
641	0.6135434293
642	0.6131412465
643	0.6126656697
644	0.6121592295
645	0.6116463763
646	0.6112387228
647	0.6108559327
648	0.6103631132
649	0.6100666868
650	0.6096393986
651	0.60919266
652	0.6087632917
653	0.6082900277
654	0.6079489638
655	0.6075947959
656	0.6071748523
657	0.6067208764
658	0.6062754352
659	0.6057316275
660	0.6052541803
661	0.6049463778
662	0.6044612577
663	0.6039621342
664	0.6035021581
665	0.6029600544
666	0.6024497645
667	0.6020969402
668	0.6014544706
669	0.6011006615
670	0.6007943843
671	0.6004988466
672	0.6000123987
673	0.5998041596
674	0.5995379209
675	0.5992209077
676	0.5987870974
677	0.5982642393
678	0.5979016941
679	0.597381397
680	0.5969559925
681	0.5964151583
682	0.5960316155
683	0.5956896541
684	0.5953190764
685	0.5948098795
686	0.5944911369
687	0.5940717639
688	0.5936226419
689	0.5932053832
690	0.5927615855
691	0.5923857486
692	0.5919293642
693	0.5913040427
694	0.5909116464
695	0.5906276176
696	0.5901415727
697	0.5898307436
698	0.5893669004
699	0.5889498925
700	0.5885594498
701	0.5880843045
702	0.5878058817
703	0.5874028366
704	0.5869808778
705	0.5867186561
706	0.5862528323
707	0.5858276019
708	0.5854175788
709	0.5849365312
710	0.584511181
711	0.5840356831
712	0.5835375807
713	0.5831182917
714	0.5826452808
715	0.5822615815
716	0.5818835219
717	0.5815304323
718	0.5811464419
719	0.5807270788
720	0.5803305994
721	0.5800006483
722	0.5796589151
723	0.5792407138
724	0.5788108393
725	0.5784245401
726	0.5779510409
727	0.5775366439
728	0.5770311145
729	0.576655721
730	0.5762078126
731	0.5757976743
732	0.5754630235
733	0.5751484405
734	0.5748343736
735	0.5743064314
736	0.5739848014
737	0.5736065398
738	0.5731485188
739	0.5727990157
740	0.5723924258
741	0.5719887842
742	0.5717514474
743	0.5715347143
744	0.5711463239
745	0.5707680995
746	0.5703983567
747	0.5699570225
748	0.5696151058
749	0.5693043761
750	0.5690220692
751	0.5686864277
752	0.5682542348
753	0.5677801294
754	0.5674743048
755	0.567173129
756	0.5667606598
757	0.566433137
758	0.5660682442
759	0.5658425689
760	0.5654795425
761	0.5651854528
762	0.5647523378
763	0.5644325789
764	0.5641230761
765	0.5636751342
766	0.5633097826
767	0.5629600792
768	0.5625732417
769	0.5622445976
770	0.561856228
771	0.5614535507
772	0.5610927936
773	0.5607260815
774	0.5603137036
775	0.5599614583
776	0.5595274275
777	0.5591971611
778	0.5588319664
779	0.5585696165
780	0.5580890259
781	0.5577280268
782	0.5573449142
783	0.5569082917
784	0.5565712706
785	0.5561786539
786	0.5559058191
787	0.5555600122
788	0.5552417429
789	0.5550306939
790	0.5546823126
791	0.554329557
792	0.5539694421
793	0.5536714943
794	0.5532981063
795	0.5528479755
796	0.5524977936
797	0.5521557906
798	0.5520172648
799	0.5517458742
800	0.5513668364
801	0.5509795125
802	0.5506906009
803	0.5503901066
804	0.5500827394
805	0.5498249158
806	0.5495875044
807	0.5491754704
808	0.5488144296
809	0.5485285853
810	0.5482484861
811	0.5478229806
812	0.5474663144
813	0.5470890951
814	0.5466590827
815	0.5463391209
816	0.5460077357
817	0.5457415436
818	0.5453915789
819	0.544990655
820	0.5446338042
821	0.544366097
822	0.5440996252
823	0.5436307872
824	0.5434112105
825	0.5431240825
826	0.5427816981
827	0.542483574
828	0.5421258853
829	0.5416724537
830	0.5413631513
831	0.5409972608
832	0.5407112491
833	0.5403845191
834	0.5400969785
835	0.539719698
836	0.5393943319
837	0.539020797
838	0.5386742839
839	0.5384248009
840	0.5381609871
841	0.5377947781
842	0.5375266517
843	0.5372142421
844	0.5368117465
845	0.5364971465
846	0.5362161373
847	0.5357872789
848	0.5354332173
849	0.5352472567
850	0.5350220811
851	0.5346250846
852	0.5342425623
853	0.5339633109
854	0.5337020683
855	0.5334162555
856	0.5330857308
857	0.5329219537
858	0.5326608641
859	0.5323366426
860	0.5320322963
861	0.5316449374
862	0.5315093034
863	0.5311410879
864	0.5308551688
865	0.5304551908
866	0.5301460656
867	0.5298194112
868	0.5294499266
869	0.5291276966
870	0.5287644976
871	0.5283748946
872	0.5281558393
873	0.5279437098
874	0.5277026771
875	0.5274642764
876	0.5271998203
877	0.5269426262
878	0.5266714324
879	0.5264669515
880	0.5262099575
881	0.5259627736
882	0.5257286167
883	0.525417121
884	0.5250601318
885	0.5248096402
886	0.5245839186
887	0.5242791235
888	0.5239353176
889	0.52376011
890	0.5235589005
891	0.5232011279
892	0.5228717471
893	0.5226001387
894	0.5222460681
895	0.5218334087
896	0.5214790641
897	0.521226587
898	0.5209510412
899	0.5207107047
900	0.5204861414
901	0.5202080191
902	0.5198442871
903	0.5195708908
904	0.5193083414
905	0.5190666797
906	0.5187243623
907	0.5184874098
908	0.5181082901
909	0.5178441763
910	0.517601443
911	0.5173757774
912	0.5170882445
913	0.516789091
914	0.516556245
915	0.516407889
916	0.5162568101
917	0.5160172156
918	0.5159211422
919	0.5156525188
920	0.5153777909
921	0.5151693499
922	0.5150427946
923	0.5148980777
924	0.5145547523
925	0.5142704971
926	0.5139283162
927	0.5136216124
928	0.5132352133
929	0.5130678368
930	0.5128627686
931	0.5126008443
932	0.5123636413
933	0.5121182277
934	0.5117816315
935	0.5115605325
936	0.5113784484
937	0.5111754825
938	0.5109729056
939	0.5107195494
940	0.5104804318
941	0.5103417503
942	0.5101320036
943	0.5098354594
944	0.5096062932
945	0.5094942633
946	0.5092220749
947	0.5089881571
948	0.5087065008
949	0.5083594704
950	0.5081783517
951	0.5078964871
952	0.5076538066
953	0.5075486409
954	0.5072749899
955	0.5069805785
956	0.5066345842
957	0.5063626669
958	0.5062467921
959	0.505879636
960	0.5056217603
961	0.5054297245
962	0.505222093
963	0.5049490922
964	0.5046127625
965	0.5043296546
966	0.5040171976
967	0.5037086361
968	0.5034292375
969	0.503054966
970	0.5028502219
971	0.5025368543
972	0.5023122164
973	0.5021790419
974	0.5019797121
975	0.5017123061
976	0.5014083014
977	0.5011810658
978	0.5010216734
979	0.5007728267
980	0.5005264813
981	0.5003277942
982	0.500192812
983	0.5000413451
984	0.4998092818
985	0.4996657565
986	0.4996031991
987	0.4994213978
988	0.4992965218
989	0.4990900836
990	0.498862866
991	0.4985827109
992	0.4983513757
993	0.4981772528
994	0.497949293
995	0.4977568561
996	0.497664643
997	0.497477426
998	0.4971867133
999	0.4970281016
